name,unique_id
Northhampton/ Alamo Farmsteads-Babcock Road,377
Hunters Chase Ii,378
Spring Vistas/ Sierra Springs,379
Forest Crest,380
North Central,381
Woodland Park,382
Villas Of Northwest Crossing/ Northwest Crossing,383
Babcock North Resident Association,384
Solana Ridge Homeowners Association/ People Active In Community Effort,385
Monterrey Village Hoa,386
Encino Rio Hoa,387
The Villas Of Spring Creek Hoa,388
Huntleigh Park Residents Association,389
Eden Roc Maintenance Association,390
Woodlawn Hills,391
Downtown,392
Macarthur Park,393
Hot Wells,394
Cypress Hollow Hoa/ Eckhert Crossing,395
Gillette Area,396
Bel Meade Homes Association,397
Gardendale,398
Collins Garden,399
Canterbury Farms Community Association,400
Altavista,261
Bulverde,358
Castle Hills,116
Crownridge,11
Culebra,272
Dellcrest Forrest,110
Dominion,77
Downtown Area,392
Downtown Northwest San Antonio,392
Downtown San Antonio,392
Downtown San Antonio Center,392
East Side,328
Far North Central,381
Government Hill,270
Harvard Place-Eastlawn,137
Hill Country Village,221
Historic King William,314
Indian Creek,263
Inwood,67
King William Area,314
King William District,314
King William Historic District,314
Lackland,264
Lavaca District,313
Lavaca Historic District,313
Los Angeles Heights,152
Mission San José,235
Monte Vista Historic District,20
Monte Vista Historical District,20
Montevista,47
Monticello Park,286
Near Downtown,392
North Central Austin,381
North Central San Antonio,381
North San Antonio,89
North-central,381
Northcentral,381
Northwest,152
Northwest Vista,20
Northwood,96
Oak Park,208
Oak Park-Northwood,349
Olmos Park,317
Rustic Oaks,276
San Antonio Downtown,392
San Antonio King William Historic District,314
Sonterra,59
SouthWest San Antonio,246
Southeast,328
Southwest San Antonio,246
Southwest Side,328
Stone Ridge,125
Terrell Hills,350
The Great Northwest,253
Valley Hi,239
Westfort,322
Westwood,265
Westwood Village,373
Woodlawn,249
Woodlawn Lake Area,289
Woodlawn Lake Park Area,289
Woodleawn Lake,289
downtown,392
Alamo Heights,401
Alamo Heights Area,401
Alamo Heights Independent School District,401
Alamo Ranch,402
Anaqua Springs Ranch,403
Art Deco District,404
Arts District,405
Balcones Heights,406
Bandera,407
Bandera Road,407
Beaumont,408
Blue Star,409
Blue Star Arts Complex,409
Boerne,410
Brackenridge Park,411
Brewery,412
Broadway Corridor,413
Brooks City Base,414
Brooks City-Base,414
Brooks City-Base Area,414
Bulverde Village,415
Castroville,416
Central San Antonio,417
Cibolo,418
Cibolo Canyon,418
Cibolo Canyons,418
City Center,419
Converse,420
Crossroads,421
Cultural Corridor,422
De Zavala Business Park,423
Deco District,404
District Helotes,424
East Central San Antonio,417
East Point,425
East San Antonio,426
EastPoint,425
Eastside,427
Eastside San Antonio,427
Edgewood,428
El Mercado,429
Estates of Northwest,430
Fair Oaks Ranch,431
Far Northwest,432
Far West,433
Far West San Antonio,433
Far West Side,433
Far Westside,433
Garden Ridge,434
Government Canyon State Natural Area,435
Greater Southside,436
Harlandale,437
Helotes,424
Hemisfair,438
Highlands,439
Historic Deco District,404
Historic District,404
Historic Monticello,440
Historic Monticello Park,440
Historic Pearl District,404
Historic West Side,441
Historic Westside,441
Historical Deco District,404
Historical Westwood,442
Hollywood Park,443
Inner City,444
Inner West Side,445
Kelly,446
Kelly USA,446
Kirby,447
L Cantera,448
LGBTQ+ District,449
La Cantera,448
La Villita,450
La Villita Historic Arts Village,450
Lackland AFB,451
Lackland AFB Area,451
Lackland AFB area,451
Lackland Air Force Base Area,452
Lackland Area,451
Lakewood Heights,453
Las Palmas,454
Laurel Heights,455
Leon Springs,456
Leon Valley,457
Lincoln Heights,458
Live Oak,459
Loft District,460
Lone Star,461
Lower Broadway,462
Main Ave Strip,463
Main Ave and North St. Mary's Street,464
Main Avenue,465
Main Avenue Strip,463
McAllister Park,466
Medical Center,467
Medical Center Area,467
Medical Center District,467
Medical District,467
Midtown,468
Midtown San Antonio,468
Mission District,469
Mission del Lago,470
Missions,471
Missions District,469
Monticello Heights,472
Monticello Park Historic District,440
Montrose,473
Montrose Area,473
Montrose District,473
Montrose Street,473
NW Military,474
Near East Side,475
Near Helotes,424
Near Medical Center,467
Near North Side,476
Near Northeast Side,477
Near Northside,476
Near Northwest,478
Near Northwest Side,477
Near UTSA,479
New Braunfels,480
North Broadway,481
North East,482
North East ISD,482
North East Independent School District,482
North East Side,482
North Main Ave,483
North Main Avenue,465
North River,484
North Side,476
North St. Mary's Street,464
North St. Mary’s Street,464
North Star,485
North Star Mall Area,485
North West,482
North West San Antonio,482
Northampton,486
Northeast,482
Northeast ISD,482
Northeast Independent School District,482
Northeast Inner Loop,482
Northeast San Antonio,482
Northeast Side,482
Northside,476
Northside District,476
Northside ISD,476
Northside Independent School District,482
Northwest Area,487
Northwest Crossroads,421
Northwest Medical Center,467
Northwest Military,488
Northwest Military Highway,488
Northwest San Antonio,482
Northwest Side,477
Northwest side,477
Northwestern San Antonio,482
Palo Alto,489
Palo Alto College Area,489
Pearl,404
Pearl Brewery,412
Pearl Brewery Area,412
Pearl Brewery District,412
Pearl District,404
Phil Hardberger Park,490
Pilsen,491
Potranco,492
Pride Center San Antonio,493
Raintree,494
Randolph AFB,495
Randolph Air Force Base,496
Rim-La Cantera,448
River North,484
River Walk,497
River Walk Area,497
Riverwalk,497
Riverwalk Area,497
Riverwalk area,497
Rogers Ranch,498
Roger’s Ranch,498
Rustic Area,499
San Antonio College Area,500
San Antonio Missions National Historical Park,471
San Antonio Northeast Side,482
San Pedro Springs,501
Schertz,502
Schertz-Cibolo,418
Schertz-Cibolo-Universal City,418
Schertz-Cibolo-Universal City Independent School District,418
SeaWorld Area,503
Selma,504
Shavano Park,505
Shops at Lincoln Heights,458
South Alamo,506
South San,507
South San Antonio,507
South San Pedro,507
South Side,508
South Texas Medical Center,467
South Town,509
South of Southtown,510
Southeast San Antonio,482
Southern San Antonio,507
Southside,508
Southside San Antonio,508
Southtown,509
Southtown Arts District,405
St. Mary's Street,464
St. Mary's Strip,511
St. Mary's University Area,512
St. Mary’s Strip,511
St. Mary’s University Area,512
The Arts District,405
The Medical Center,467
The Medical Center Area,467
The Missions,471
The Pearl,404
The Pearl District,404
The Pearl district,404
The Rim,513
The Strip,514
The West Side,515
Timberwood Park,516
UTSA,479
UTSA Area,479
UTSA Boulevard,479
UTSA area,479
Universal City,418
University of Texas at San Antonio,517
University of Texas at San Antonio Area,517
Uptown,518
Uptown Broadway,518
Uptown Loop,518
Urban Core,519
Valley Forge,520
West San Antonio,433
West Side,433
Westlawn,521
Westover Hills,522
Westside,433
Westside San Antonio,427
Westwood Park,523
Windcrest,524
Windsor Park,525
Wurzbach Parkway Area,526
